Date,Open,High,Low,Close,Volume
31-Mar-17,42.56,42.73,42.40,42.55,1580847
30-Mar-17,42.62,42.92,42.48,42.71,1649732
29-Mar-17,42.41,42.75,42.31,42.63,2995751
28-Mar-17,42.72,42.75,42.28,42.53,1927459
27-Mar-17,42.23,42.75,41.96,42.72,1875223
24-Mar-17,42.28,42.55,42.12,42.29,1827630
23-Mar-17,42.14,42.50,41.99,42.23,1265401
22-Mar-17,42.15,42.16,41.73,42.09,1639498
21-Mar-17,42.59,42.66,41.91,41.94,2236157
20-Mar-17,42.46,42.74,42.28,42.42,1597586
17-Mar-17,42.64,42.80,42.45,42.59,2590776
16-Mar-17,42.78,42.97,42.31,42.50,2123600
15-Mar-17,42.36,42.81,42.26,42.78,2038144
14-Mar-17,42.30,42.43,41.86,42.32,1637041
13-Mar-17,42.39,42.59,42.11,42.41,2046559
10-Mar-17,42.44,42.48,41.91,42.23,1648045
9-Mar-17,42.02,42.27,41.74,42.20,2570940
8-Mar-17,41.05,42.08,41.00,41.92,3046025
7-Mar-17,41.59,42.17,40.77,40.96,2659431
6-Mar-17,41.46,41.46,40.88,41.17,2517821
3-Mar-17,40.82,41.30,40.82,41.24,2167063
2-Mar-17,41.36,41.37,40.96,41.02,1682731
1-Mar-17,40.87,41.33,40.66,41.19,1867134
28-Feb-17,40.62,40.81,40.49,40.58,1609555
27-Feb-17,40.81,41.02,40.66,40.70,1680370
24-Feb-17,40.34,40.83,40.20,40.82,2309211
23-Feb-17,40.23,40.50,40.22,40.30,1518628
22-Feb-17,40.16,40.47,40.00,40.27,1820629
21-Feb-17,40.12,40.44,39.93,40.09,2516139
17-Feb-17,39.46,40.01,39.21,40.00,2927049
16-Feb-17,39.55,39.82,39.31,39.53,2962238
15-Feb-17,38.82,39.53,38.67,39.40,3600435
14-Feb-17,38.25,39.12,37.76,39.03,7092092
13-Feb-17,40.03,40.25,39.85,40.02,1388231
10-Feb-17,40.17,40.23,39.76,39.93,2129919
9-Feb-17,39.23,40.34,39.21,40.12,2723542
8-Feb-17,39.14,39.28,38.96,39.16,2066826
7-Feb-17,39.33,39.71,39.27,39.33,2661185
6-Feb-17,39.40,39.47,39.06,39.34,2627149
3-Feb-17,39.54,39.73,39.24,39.58,2655057
2-Feb-17,40.20,40.55,39.00,39.47,4836775
1-Feb-17,40.67,41.24,40.42,40.85,4582823
31-Jan-17,40.16,40.54,39.88,40.53,2497433
30-Jan-17,40.42,40.50,39.78,40.14,1665768
27-Jan-17,40.29,40.65,40.16,40.58,1309749
26-Jan-17,40.16,40.46,40.11,40.17,1872448
25-Jan-17,39.46,40.40,39.45,40.27,3776343
24-Jan-17,39.32,39.40,39.07,39.38,1477364
23-Jan-17,39.36,39.56,39.17,39.26,1147670
20-Jan-17,39.77,39.84,39.30,39.35,1782864
19-Jan-17,39.84,40.20,39.56,39.60,1243643
18-Jan-17,40.20,40.33,39.87,39.95,1489851
17-Jan-17,39.89,40.02,39.66,39.93,1444030
13-Jan-17,40.17,40.45,40.08,40.18,1206389
12-Jan-17,40.62,40.73,39.75,40.17,1358292
11-Jan-17,40.51,40.76,40.26,40.69,2212440
10-Jan-17,40.01,40.77,40.01,40.44,2375621
9-Jan-17,39.82,40.13,39.81,40.05,1810921
6-Jan-17,39.89,40.08,39.75,39.88,2337704
5-Jan-17,40.05,40.19,39.65,39.79,1948388
4-Jan-17,40.25,40.29,39.50,40.03,2803868
3-Jan-17,40.00,40.40,39.76,40.15,2077793
30-Dec-16,40.21,40.29,39.84,40.12,1661751
29-Dec-16,39.89,40.34,39.89,40.08,1383985
28-Dec-16,40.29,40.29,39.77,39.89,1355900
27-Dec-16,40.42,40.80,40.25,40.28,947862
23-Dec-16,40.04,40.51,39.99,40.33,1026732
22-Dec-16,39.99,40.34,39.96,40.07,1830316
21-Dec-16,40.05,40.27,39.82,39.99,1493679
20-Dec-16,40.15,40.37,39.98,40.03,1430594
19-Dec-16,40.09,40.62,39.93,40.08,2254593
16-Dec-16,40.91,41.00,39.81,40.09,11098206
15-Dec-16,40.81,40.99,40.26,40.69,3432563
14-Dec-16,40.55,41.01,40.47,40.79,4022532
13-Dec-16,39.95,40.61,39.71,40.52,4091885
12-Dec-16,39.66,40.18,39.43,39.75,5200282
9-Dec-16,39.10,39.66,38.81,39.02,2617665
8-Dec-16,38.98,39.66,38.76,38.96,1973519
7-Dec-16,38.77,39.21,38.13,39.00,3123529
6-Dec-16,38.66,38.90,38.37,38.89,1588654
5-Dec-16,38.10,38.54,37.72,38.51,1706359
2-Dec-16,37.76,38.36,37.64,37.92,1877929
1-Dec-16,38.28,38.58,37.46,37.64,2939306
30-Nov-16,38.96,39.16,38.16,38.28,3109086
29-Nov-16,38.85,39.55,38.69,38.98,2903671
28-Nov-16,39.05,39.05,38.53,38.68,2178699
25-Nov-16,39.21,39.30,39.00,39.06,1310765
23-Nov-16,38.42,39.13,38.42,38.97,2790360
22-Nov-16,38.39,38.53,37.66,38.47,2975727
21-Nov-16,38.32,38.86,38.31,38.65,1621393
18-Nov-16,38.52,38.69,38.00,38.37,1916246
17-Nov-16,37.56,38.67,37.24,38.58,2899573
16-Nov-16,37.46,37.72,37.22,37.48,2006632
15-Nov-16,36.55,37.65,36.44,37.60,2032300
14-Nov-16,36.88,36.91,36.27,36.45,2843913
11-Nov-16,37.40,37.57,36.60,36.74,2564499
10-Nov-16,38.25,38.46,37.30,37.60,3715190
9-Nov-16,39.35,39.49,36.73,37.16,5396608
8-Nov-16,38.57,39.10,38.18,38.77,2696521
7-Nov-16,38.53,38.96,38.09,38.68,3944142
4-Nov-16,37.39,38.38,37.30,38.08,3925462
3-Nov-16,38.26,38.92,37.14,37.19,6784437
2-Nov-16,35.55,35.72,35.15,35.37,3478953
1-Nov-16,35.99,36.09,35.39,35.66,2511063
31-Oct-16,36.01,36.10,35.50,36.01,4561729
28-Oct-16,36.04,36.42,35.87,35.98,2576020
27-Oct-16,36.73,36.75,35.82,36.09,3199737
26-Oct-16,37.47,37.58,36.44,36.60,3402549
25-Oct-16,38.25,38.35,37.55,37.67,1659372
24-Oct-16,38.20,38.45,38.11,38.17,1324325
21-Oct-16,38.20,38.33,37.93,38.08,1389486
20-Oct-16,38.38,38.67,38.10,38.47,1356763
19-Oct-16,38.72,38.80,38.28,38.37,1721742
18-Oct-16,38.89,39.02,38.71,38.72,980962
17-Oct-16,38.42,38.63,38.38,38.57,1152200
14-Oct-16,38.42,38.73,38.34,38.45,1547204
13-Oct-16,38.44,38.49,37.91,38.32,1610074
12-Oct-16,38.84,38.99,38.53,38.81,1368877
11-Oct-16,39.79,40.00,38.58,38.69,2091446
10-Oct-16,39.46,40.20,39.46,40.05,2055762
7-Oct-16,39.39,39.91,39.16,39.74,2982062
6-Oct-16,39.54,39.80,39.15,39.27,3237978
5-Oct-16,39.34,39.77,38.92,39.53,2740065
4-Oct-16,38.10,39.67,38.10,39.15,3612008
3-Oct-16,38.54,38.95,38.39,38.88,2544910
30-Sep-16,38.39,38.97,38.16,38.83,1864886
29-Sep-16,38.55,38.71,37.74,38.14,1464729
28-Sep-16,38.87,38.91,38.42,38.72,1247356
27-Sep-16,37.88,39.08,37.81,38.76,3219505
26-Sep-16,38.26,38.42,37.82,37.97,1547868
23-Sep-16,39.30,39.30,38.31,38.45,2635904
22-Sep-16,38.60,38.82,38.54,38.78,1315963
21-Sep-16,38.27,38.57,38.08,38.53,1509323
20-Sep-16,38.22,38.37,37.47,38.24,1698877
19-Sep-16,37.73,38.28,37.20,37.91,2846608
16-Sep-16,37.84,37.95,36.84,37.59,7160699
15-Sep-16,37.21,37.94,37.21,37.75,1912523
14-Sep-16,37.37,37.70,37.18,37.33,1970787
13-Sep-16,37.36,37.72,37.17,37.41,2116255
12-Sep-16,37.09,37.80,36.98,37.70,2006418
9-Sep-16,38.27,38.38,37.16,37.16,2356534
8-Sep-16,38.58,38.70,38.38,38.50,1669300
7-Sep-16,38.41,38.74,38.31,38.67,1684427
6-Sep-16,38.65,38.73,38.07,38.50,1664761
2-Sep-16,38.66,38.77,38.36,38.51,1293765
1-Sep-16,38.39,38.58,38.12,38.46,1699124
31-Aug-16,38.44,38.58,38.25,38.42,2209546
30-Aug-16,38.65,38.76,38.38,38.46,1987470
29-Aug-16,38.94,39.16,38.69,38.73,1884926
26-Aug-16,38.42,39.14,38.27,38.80,3220019
25-Aug-16,38.36,38.76,38.30,38.43,2787586
24-Aug-16,38.85,39.00,38.22,38.34,2128093
23-Aug-16,38.56,38.95,38.56,38.79,2168385
22-Aug-16,38.26,38.52,38.06,38.45,1562977
19-Aug-16,38.34,38.46,38.18,38.34,2349173
18-Aug-16,38.03,38.44,37.95,38.38,1456152
17-Aug-16,38.45,38.64,37.94,38.08,1988357
16-Aug-16,38.94,38.99,38.49,38.51,1179882
15-Aug-16,38.82,39.01,38.60,39.00,1977675
12-Aug-16,38.85,38.94,38.43,38.68,1448530
11-Aug-16,38.70,38.89,38.41,38.85,2557952
10-Aug-16,38.65,38.80,38.34,38.55,921366
9-Aug-16,38.36,38.85,38.29,38.69,1671455
8-Aug-16,39.03,39.05,38.29,38.41,2433362
5-Aug-16,38.93,38.99,38.77,38.97,1498280
4-Aug-16,39.08,39.15,38.01,38.68,2065500
3-Aug-16,38.99,39.15,38.88,39.00,3586335
2-Aug-16,38.97,39.35,38.88,39.03,4834564
1-Aug-16,38.59,39.20,38.59,38.98,5388485
29-Jul-16,38.28,38.60,37.59,38.49,2553587
28-Jul-16,37.85,38.71,37.62,38.27,4563350
27-Jul-16,36.83,37.29,36.54,37.20,3534350
26-Jul-16,36.63,36.91,36.42,36.83,1891334
25-Jul-16,36.56,36.72,36.43,36.57,2056391
22-Jul-16,36.40,36.57,36.20,36.52,2252852
21-Jul-16,36.84,37.04,36.08,36.45,4810880
20-Jul-16,36.57,36.91,36.39,36.82,2031397
19-Jul-16,36.32,36.52,36.12,36.50,1534289
18-Jul-16,36.42,36.65,36.26,36.44,1454850
15-Jul-16,36.65,36.93,36.31,36.35,2696647
14-Jul-16,36.06,36.56,36.04,36.53,2378818
13-Jul-16,35.91,36.08,35.54,35.80,1696983
12-Jul-16,35.64,35.92,35.35,35.71,1690296
11-Jul-16,36.10,36.19,35.59,35.61,1779035
8-Jul-16,35.63,36.03,35.52,35.93,1887656
7-Jul-16,34.70,35.79,34.60,35.50,3322753
6-Jul-16,34.38,34.74,34.21,34.70,2233704
5-Jul-16,34.76,34.92,34.10,34.44,1988459
1-Jul-16,34.51,35.00,33.67,34.85,2243868
30-Jun-16,34.04,34.60,33.82,34.60,2508203
29-Jun-16,33.69,34.14,33.37,34.06,3280348
28-Jun-16,33.03,33.42,32.99,33.35,2283844
27-Jun-16,33.87,33.95,32.81,32.93,2065449
24-Jun-16,34.33,34.85,33.96,34.11,6377279
23-Jun-16,34.42,35.66,34.17,35.62,4426927
22-Jun-16,33.89,34.54,33.87,34.11,4699530
21-Jun-16,34.23,34.40,33.87,33.88,2208209
20-Jun-16,34.61,34.77,33.98,34.14,3631231
17-Jun-16,33.58,33.92,33.33,33.81,4982381
16-Jun-16,32.96,33.76,32.64,33.70,4725985
15-Jun-16,33.13,33.49,33.00,33.13,2537672
14-Jun-16,33.36,33.38,33.00,33.09,2510280
13-Jun-16,34.07,34.25,33.38,33.41,2288005
10-Jun-16,34.91,34.91,34.08,34.14,2555728
9-Jun-16,34.31,35.02,34.31,34.95,5842231
8-Jun-16,34.24,34.58,34.17,34.41,2489939
7-Jun-16,34.40,34.84,34.28,34.28,2887123
6-Jun-16,34.45,34.63,34.25,34.49,1779162
3-Jun-16,34.71,34.79,33.98,34.32,3726998
2-Jun-16,34.73,35.05,34.57,34.84,3038237
1-Jun-16,34.27,34.73,34.09,34.66,3463390
31-May-16,34.54,34.60,33.97,34.41,3518999
27-May-16,33.85,34.58,33.76,34.41,3236976
26-May-16,33.59,34.05,33.46,33.85,3567034
25-May-16,33.57,33.80,33.48,33.61,3533139
24-May-16,33.21,33.66,33.00,33.45,2609643
23-May-16,33.48,33.54,33.05,33.08,2130761
20-May-16,33.32,33.75,33.26,33.34,2247779
19-May-16,33.28,33.49,32.96,33.28,2672103
18-May-16,33.39,33.94,33.04,33.28,5987774
17-May-16,33.89,34.27,33.37,33.57,2470390
16-May-16,33.80,34.29,33.71,34.11,2159511
13-May-16,33.82,34.25,33.70,33.75,2015525
12-May-16,34.21,34.40,33.64,33.76,2795666
11-May-16,34.43,34.73,34.17,34.17,1912950
10-May-16,34.15,34.44,33.89,34.41,3897509
9-May-16,33.68,34.07,33.68,33.88,3251536
6-May-16,33.62,34.17,33.49,33.72,2656487
5-May-16,33.92,34.12,33.58,33.75,3354061
4-May-16,34.13,34.50,33.84,33.89,3454589
3-May-16,33.79,34.33,33.50,34.26,5798113
2-May-16,33.70,34.02,33.32,34.00,4488936
29-Apr-16,33.57,33.86,33.02,33.59,7462827
28-Apr-16,36.00,36.25,33.74,33.92,9927462
27-Apr-16,37.46,38.05,37.43,37.83,3512525
26-Apr-16,37.64,38.00,37.49,37.70,2589675
25-Apr-16,37.42,37.85,37.33,37.79,1954556
22-Apr-16,37.50,37.70,37.29,37.44,3378011
21-Apr-16,37.41,38.08,37.25,37.50,4523864
20-Apr-16,36.64,37.38,36.45,37.31,3134272
19-Apr-16,36.89,36.93,36.34,36.62,2533001
18-Apr-16,36.02,36.80,36.00,36.79,2650763
15-Apr-16,36.18,36.27,35.87,36.17,1825245
14-Apr-16,36.06,36.54,35.84,36.25,2877741
13-Apr-16,35.45,36.10,35.15,36.00,6908810
12-Apr-16,35.31,35.31,34.91,35.23,1973232
11-Apr-16,35.50,35.71,34.95,35.02,2115803
8-Apr-16,35.42,35.58,35.14,35.37,2438797
7-Apr-16,35.52,35.71,35.00,35.25,1905807
6-Apr-16,34.71,35.76,34.70,35.75,3953517
5-Apr-16,35.15,35.22,34.63,34.78,3168975
4-Apr-16,34.69,35.45,34.52,35.21,3230371
